,,Driver,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Main Race,AUS,CHN,JPN,BAH,SAU,MIA,CAN,MON,SPA,AUS,BRI,BEL,HUN,NET,ITA,AZE,SIN,USA,MEX,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Sprint,CHNS,SAUS,AUSS,NETS,USAS,BRAS,TOTAL,Average PG
,US,Lukus Wright,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P13,0",13,,US,Lukus Wright,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,US,Lukus Wright,,,,,,,0,Waiting...
,FI,Eetu Väisänen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,"P1,0",1,,FI,Eetu Väisänen,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,FI,Eetu Väisänen,,,,,,,0,Waiting...
,PT,Afonso Cachinho,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P16,0",16,,PT,Afonso Cachinho,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,PT,Afonso Cachinho,,,,,,,0,Waiting...
,TR,Eren Aygen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"P4,0",4,,TR,Eren Aygen,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,TR,Eren Aygen,,,,,,,0,Waiting...
,NL,Lucas Koopman,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"P6,0",6,,NL,Lucas Koopman,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,NL,Lucas Koopman,,,,,,,0,Waiting...
,GB,Jason Roy,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"P7,0",7,,GB,Jason Roy,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,GB,Jason Roy,,,,,,,0,Waiting...
,BE,Philippe Verhaeren,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P20,0",20,,BE,Philippe Verhaeren,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,BE,Philippe Verhaeren,,,,,,,0,Waiting...
,AU,Joshua Nathanial,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"P8,0",8,,AU,Joshua Nathanial,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,AU,Joshua Nathanial,,,,,,,0,Waiting...
,CN,Zhao Lei,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P12,0",12,,CN,Zhao Lei,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,CN,Zhao Lei,,,,,,,0,Waiting...
,NL,Maikel Zwart,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"P3,0",3,,NL,Maikel Zwart,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,NL,Maikel Zwart,,,,,,,0,Waiting...
